CLIENTNUM,Card_Category,Months_on_book
768805383,Blue,39
818770008,Blue,44
713982108,Blue,36
769911858,Blue,34
709106358,Blue,21
713061558,Blue,36
810347208,Gold,46
818906208,Silver,27
710930508,Blue,36
719661558,Blue,36
708790833,Blue,31
710821833,Blue,54
710599683,Blue,36
816082233,Blue,30
712396908,Blue,48
714885258,Blue,37
709967358,Blue,36
753327333,Blue,34
806160108,Blue,56
709327383,Blue,37
806165208,Blue,42
708508758,Blue,49
784725333,Blue,33
811604133,Blue,36
789124683,Blue,42
771071958,Blue,28
720466383,Blue,46
804424383,Blue,56
718813833,Blue,34
806624208,Blue,42
778348233,Blue,33
712991808,Blue,48
709029408,Blue,36
788658483,Blue,38
787937058,Blue,49
715318008,Blue,36
713962233,Blue,36
785432733,Gold,36
715190283,Blue,49
708300483,Blue,56
827111283,Blue,41
758551608,Blue,44
773146383,Silver,43
778493808,Blue,37
720572508,Blue,28
712661433,Blue,30
789172683,Blue,45
738406533,Blue,52
799723908,Blue,40
771490833,Blue,40
720756708,Blue,41
779471883,Blue,40
711525033,Blue,54
712813458,Blue,36
714374133,Blue,36
717891558,Blue,36
716632758,Blue,36
768563658,Blue,50
711427458,Blue,35
714091983,Blue,34
787584108,Blue,47
712030833,Silver,35
711481533,Blue,33
710082708,Blue,32
708155733,Blue,44
788979258,Silver,38
807986133,Blue,52
788730933,Blue,20
711314058,Blue,32
717975333,Blue,38
715971108,Blue,42
720096558,Blue,42
719580033,Blue,43
820582308,Blue,37
789973308,Blue,35
712876233,Blue,36
804595158,Blue,36
714826758,Blue,29
779058108,Blue,30
710790258,Blue,38
715623483,Blue,37
715156383,Blue,36
711013983,Blue,45
755420433,Blue,52
794543958,Blue,35
716396358,Blue,47
715398033,Blue,35
711743883,Blue,35
719720058,Blue,31
778992108,Blue,45
717539808,Blue,36
714070758,Blue,38
714107958,Blue,36
789140283,Blue,42
715550508,Blue,28
719712633,Blue,52
772629333,Blue,35
720336708,Blue,35
802013583,Blue,50
711887583,Blue,37
714778833,Blue,43
713843283,Silver,34
779155158,Blue,34
721091583,Blue,32
713572683,Blue,25
716657058,Blue,33
779509983,Blue,36
717929133,Blue,36
808284783,Blue,56
708476808,Blue,36
710916408,Blue,39
708492558,Blue,36
799825758,Blue,36
718619883,Blue,36
711844758,Blue,35
714798783,Blue,36
826762908,Blue,48
771894558,Blue,39
721074183,Blue,36
715259583,Blue,44
718414008,Blue,36
719666283,Blue,36
714877233,Blue,47
785387883,Blue,41
771075258,Silver,42
711318033,Blue,36
783554958,Blue,52
720201033,Blue,41
718039683,Blue,45
710806083,Silver,36
714752208,Blue,36
822063408,Blue,39
714490308,Blue,46
713356833,Blue,43
711402333,Blue,37
708296883,Blue,38
719154483,Blue,36
717721458,Blue,40
711112683,Blue,36
715674483,Blue,27
789322833,Blue,38
789968058,Blue,42
709919283,Blue,34
718744008,Blue,36
767712558,Blue,53
712950783,Blue,38
716104983,Blue,32
818839983,Blue,50
772288758,Blue,36
712350858,Blue,24
711009708,Blue,28
712720158,Blue,56
712215258,Silver,31
773827008,Blue,41
795232683,Blue,47
713786508,Blue,36
713539833,Blue,38
712454058,Blue,38
718759833,Silver,35
718803333,Blue,34
720253908,Blue,43
714133158,Blue,36
713187033,Blue,36
714791208,Blue,41
772426383,Blue,40
710975883,Blue,43
714264408,Blue,36
715827858,Blue,47
713741358,Blue,33
709531908,Blue,47
716493408,Blue,36
714141108,Blue,45
708953883,Blue,36
712608783,Silver,45
820353558,Blue,36
714964758,Blue,36
716264358,Blue,42
717296808,Blue,56
712977183,Silver,36
710829108,Blue,36
779562633,Blue,34
715315833,Blue,36
815500983,Blue,54
719360583,Blue,45
709701558,Blue,36
721148358,Blue,38
779862408,Blue,33
812627208,Blue,55
711033408,Blue,36
779956608,Blue,31
780376683,Blue,47
717912483,Blue,27
714454758,Blue,47
780466533,Blue,41
715735233,Blue,44
720476733,Blue,34
715872333,Blue,36
712375758,Blue,43
708868233,Blue,52
718030083,Blue,36
720707283,Blue,36
771698658,Blue,32
748326258,Blue,41
770817783,Silver,33
779353083,Silver,32
711441333,Silver,35
719808558,Blue,43
711551958,Blue,46
809164083,Blue,56
820596183,Blue,53
715999608,Blue,36
710565408,Silver,40
805543158,Blue,47
709752183,Blue,36
716479233,Blue,36
713837058,Blue,36
718876683,Blue,31
770746908,Blue,30
794843883,Blue,35
803043933,Silver,38
758076408,Blue,43
714606558,Blue,36
778425408,Blue,24
714171108,Blue,39
719662458,Blue,27
713137233,Blue,28
769425858,Blue,32
711297483,Silver,34
788900883,Blue,36
758348808,Blue,44
772336458,Blue,50
708711483,Blue,46
717906783,Blue,29
719437908,Blue,36
769433508,Blue,37
790096533,Blue,48
720997383,Blue,36
787541883,Blue,33
709930758,Blue,30
789830058,Blue,34
710299608,Blue,33
710741208,Blue,36
821797008,Blue,45
708874533,Blue,36
715341858,Blue,46
793636308,Blue,43
713779908,Blue,36
712125258,Blue,30
709703433,Blue,38
721022433,Blue,36
710103558,Blue,31
715952883,Blue,36
719731458,Blue,46
772390908,Blue,48
787348608,Blue,56
709485033,Blue,36
715432608,Blue,36
799471833,Blue,39
714187533,Blue,35
779656908,Blue,23
788950158,Blue,22
778867533,Blue,40
710620383,Blue,35
778661358,Blue,36
789483333,Blue,32
809855808,Blue,46
718464258,Blue,25
708528483,Blue,23
771809733,Blue,53
719942883,Blue,38
807226683,Blue,43
717806133,Blue,29
720615708,Blue,45
714511758,Blue,40
715050408,Blue,36
721132233,Blue,31
719211558,Blue,36
712069008,Blue,23
715996983,Blue,30
773466258,Blue,42
798983508,Silver,37
719117433,Blue,36
716451183,Blue,44
718621608,Blue,44
715085733,Blue,52
788977833,Blue,48
720272958,Blue,36
708421833,Blue,36
709173108,Blue,40
709879458,Blue,46
715120608,Blue,37
770632758,Blue,36
779078733,Blue,36
771742533,Blue,36
720250158,Blue,33
716458983,Blue,36
713747733,Blue,47
712270158,Blue,52
789562383,Blue,30
754897008,Blue,39
819700533,Silver,45
712890408,Blue,36
720248208,Blue,37
779749908,Gold,33
717401883,Blue,22
721509558,Blue,42
710572458,Blue,24
714576183,Blue,36
721425558,Blue,37
711109908,Blue,36
715203108,Blue,36
710027508,Blue,54
787464408,Blue,40
783542133,Blue,47
708330858,Blue,38
714426783,Blue,31
712701333,Blue,43
709494483,Blue,54
773373108,Blue,43
715812258,Blue,34
778286433,Blue,56
789270033,Silver,37
711569433,Blue,38
720214833,Silver,40
709346133,Blue,35
788194458,Blue,26
720779733,Blue,36
717424458,Blue,36
708820308,Blue,36
710558058,Blue,38
770590758,Blue,29
718490658,Blue,36
711985833,Blue,30
708967608,Blue,45
718505958,Silver,31
715024233,Blue,36
779249583,Blue,38
709278258,Blue,44
778928283,Blue,39
712299858,Blue,53
799224108,Blue,40
809976033,Blue,44
716203308,Blue,42
714871683,Blue,36
716139933,Blue,36
716984658,Blue,39
713086008,Blue,47
713773458,Blue,45
719242533,Blue,33
772712658,Blue,50
788868858,Blue,39
811898133,Blue,35
788808633,Blue,26
779804208,Blue,42
781391058,Blue,49
790134408,Blue,39
788853258,Blue,25
711857733,Blue,32
822969858,Blue,56
719554758,Blue,38
711643458,Blue,43
788830683,Blue,24
807030858,Blue,46
793059108,Blue,44
716568708,Blue,36
828281733,Blue,39
717229158,Blue,36
715915458,Blue,34
819129858,Blue,41
713441958,Blue,36
719091333,Blue,36
708666258,Blue,36
714914583,Blue,27
714363858,Blue,36
721347408,Blue,43
809608533,Blue,44
772047183,Blue,34
714217908,Blue,41
714819183,Blue,36
716455683,Gold,36
710865633,Silver,33
752952108,Blue,26
712595433,Blue,49
714982383,Blue,36
813814008,Blue,48
794545983,Blue,40
708288108,Blue,30
715585158,Blue,46
810449883,Blue,56
789863208,Blue,44
715022133,Blue,47
712506708,Blue,25
715699983,Blue,36
818942433,Blue,49
712459233,Blue,46
716545383,Blue,36
721144383,Silver,28
821837958,Blue,39
804359133,Blue,49
713308683,Blue,37
788780958,Blue,27
717354558,Blue,40
798473808,Blue,42
712372158,Blue,33
715192308,Blue,36
708813033,Blue,36
714639783,Blue,34
709311633,Silver,36
709470858,Silver,31
717292758,Blue,47
779241783,Blue,49
715205358,Blue,31
778871508,Blue,35
779462433,Blue,37
710147958,Silver,36
709864833,Blue,38
778868958,Blue,23
717276708,Blue,36
710004933,Blue,36
753606108,Blue,49
710940183,Blue,38
718927533,Blue,32
719337408,Blue,36
772308408,Blue,33
712981383,Silver,37
790099758,Blue,33
709547658,Blue,36
778770783,Blue,30
713134458,Blue,43
712159083,Blue,46
713639958,Blue,36
771180033,Blue,34
717916758,Blue,56
711089733,Blue,36
716988633,Blue,46
779031033,Blue,22
716302383,Blue,36
718281408,Blue,25
721333233,Blue,34
794496033,Blue,38
710519433,Blue,36
814995933,Blue,53
721469433,Blue,36
788386908,Platinum,41
717198633,Blue,34
767695083,Blue,44
711791583,Blue,40
712315683,Blue,45
710038008,Blue,47
789129033,Blue,32
718349058,Blue,39
789842283,Blue,42
714513033,Blue,36
714717483,Blue,29
714900408,Blue,31
719418933,Blue,36
720115683,Blue,36
779504058,Blue,28
795979833,Blue,47
717392358,Blue,50
718640508,Blue,46
803366358,Blue,29
709230708,Blue,36
781794708,Blue,29
801383808,Blue,44
710677608,Blue,36
708217758,Blue,49
714272658,Blue,24
717469158,Blue,30
711864783,Blue,46
719407983,Blue,25
710665533,Blue,23
716804283,Blue,29
767294658,Blue,50
709122483,Blue,37
708241233,Blue,47
717860358,Blue,36
789337233,Blue,53
720902133,Blue,46
721043058,Blue,44
711870333,Blue,36
708398283,Blue,29
715878183,Blue,35
719451483,Blue,37
709110633,Blue,29
721059033,Blue,40
779912283,Blue,33
717701733,Blue,35
709913733,Blue,36
718768158,Blue,48
721375308,Blue,36
711374283,Blue,42
822893133,Blue,52
778465533,Blue,40
712138983,Blue,36
716920908,Blue,42
708095133,Blue,34
711195558,Blue,48
772735758,Blue,34
712024908,Blue,36
778239933,Blue,35
714893733,Blue,45
754886958,Blue,41
710104908,Blue,43
710558883,Blue,36
713827383,Blue,36
720267033,Blue,26
712049208,Blue,39
708688608,Blue,48
716223708,Blue,36
713217858,Blue,32
819352983,Blue,44
711019308,Blue,45
768600558,Blue,31
